产品编号,银行名称,产品名称,最低利率,最高利率,显示利率,最低额度,最高额度,显示额度,最短周期,最长周期,显示周期,产品描述,担保方式,产品标签
1,北京银行,个人消费贷,4,12,6,0.5,100,50,6,24,12,用于个人消费的贷款，适用于各类消费场景。CP1001099920240012,"1,2","消费金融,"
2,上海浦东发展银行,企业经营贷,3.8,11,7,10,500,300,12,60,36,支持中小企业的经营资金需求，利率优惠。CP1001099920240013,"1,3,4","企业金融,"
3,中国工商银行,住房按揭贷,3.25,9,4.5,50,1000,800,12,360,240,用于购买住房的按揭贷款，期限灵活。CP1001099920240014,1,"住房金融,"
4,中国农业银行,农业经营贷,3.5,10.5,6.5,5,300,200,6,36,24,支持农业生产经营的专项贷款。CP1001099920240015,"1,2,3","农业金融,"
5,中国建设银行,教育助学贷,3,8,5,1,50,20,6,48,36,用于支付学费和生活费的教育贷款。CP1001099920240016,"1,2","教育金融,"
6,招商银行,信用卡分期贷,5,15,8,0.1,50,10,3,24,12,信用卡账单分期，灵活还款。CP1001099920240017,1,"信用卡金融,"
7,平安银行,汽车消费贷,4.5,12.5,7.5,10,200,100,12,60,36,用于购买汽车的专项贷款。CP1001099920240018,"1,2","汽车金融,"
8,兴业银行,装修分期贷,4,11.5,6.8,5,100,50,6,36,24,用于家庭装修的分期贷款。CP1001099920240019,"1,2","装修金融,"
9,中信银行,创业扶持贷,3.75,10.8,7.2,20,500,300,12,60,36,支持创业者的专项贷款，利率优惠。CP1001099920240020,"1,3,4","创业金融,"
10,中国民生银行,医疗健康贷,3.25,9,6.5,5,100,50,6,36,24,用于支付医疗费用的专项贷款。CP1001099920240021,"1,2","医疗金融,"
